Rank,Company,Ticker Symbol,Industry,Website,City,State,Zip Code,Number of Employees,,Annual Rev (in millions),Rank 2020,Rev % change from 2020,"Profit $USD
(in millions)",Profit % change from 2020,"Assets $USD
(in millions)","Stockholder's Equity $USD
(in millions)",Market Value 3/31/22 $USD (in millions),Profits as % of Sales,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share 2021,EPS % change from 2020,5-YR EPS % annual rate,10-YR EPS % annual rate,2021 Total Return to Investors,5-YR Total Return to Investors,10-YR Total Return to Investors
46,Intel,INTC,Semiconductors and Other Electronic Components,www.intel.com,Santa Clara,CA,95054,"121,100",,"$79,024 ",40,1.5,"$19,868 ",-4.9,"$168,406 ","$95,391 ","$202,636 ",25.1,11.8,20.8,4.86,-1.6,18,7.4,6,10,11
47,Procter & Gamble,PG,Household and Personal Products,www.pg.com,Cincinnati,OH,45202,"101,000",,"$76,118 ",43,7.3,"$14,306 ",9.8,"$119,307 ","$46,378 ","$366,272 ",18.8,12,30.8,5.5,10.9,8.3,3.4,20.5,17.5,12.7
48,General Electric,GE,Industrial Machinery,www.ge.com,Boston,MA,2210,"168,000",,"$74,196 ",38,-6.8,"($6,520)",-214.3,"$198,874 ","$40,310 ","$100,810 ",-8.8,-3.3,-16.2,-6.16,-232.8,,,9.7,-15.8,-1.3
49,International Business Machines,IBM,Information Technology Services,www.ibm.com,Armonk,NY,10504,"297,800",,"$72,344 ",42,-1.7,"$5,743 ",2.7,"$132,001 ","$18,901 ","$116,928 ",7.9,4.4,30.4,6.35,1.9,-12.5,-7,16.7,1.2,0.8
50,MetLife,MET,"Insurance: Life, Health (Stock)",www.metlife.com,New York,NY,10166,"43,000",,"$71,080 ",46,4.8,"$6,554 ",21.2,"$759,708 ","$67,482 ","$57,987 ",9.2,0.9,9.7,7.31,28.7,63.3,1.5,37.3,9.3,11.9
51,Prudential Financial,PRU,"Insurance: Life, Health (Stock)",www.prudential.com,Newark,NJ,7102,"40,916",,"$70,934 ",55,24.4,"$7,724 ",,"$937,582 ","$61,876 ","$44,482 ",10.9,0.8,12.5,19.51,,15,10.5,45.1,5.4,12
52,Albertsons,ACI,Food and Drug Stores,www.albertsonscompanies.com,Boise,ID,83706,"300,000",,"$69,690 ",52,11.6,$850 ,82.3,"$26,598 ","$2,923 ","$16,064 ",1.2,3.2,29.1,1.47,,,,74.9,,
53,Walt Disney,DIS,Entertainment,www.thewaltdisneycompany.com,Burbank,CA,91521,"171,000",,"$67,418 ",50,3.1,"$1,995 ",,"$203,609 ","$88,553 ","$249,718 ",3,1,2.3,1.09,,-28.2,-8,-14.5,9.3,16.6
54,Energy Transfer,ET,Pipelines,www.energytransfer.com,Dallas,TX,75225,"12,558",,"$67,417 ",81,73.1,"$5,470 ",,"$105,963 ","$31,300 ","$34,497 ",8.1,5.2,17.5,1.89,,15.5,18.5,43,-8.1,5
55,Lockheed Martin,LMT,Aerospace and Defense,www.lockheedmartin.com,Bethesda,MD,20817,"114,000",,"$67,044 ",49,2.5,"$6,315 ",-7.6,"$50,873 ","$10,959 ","$117,648 ",9.4,12.4,57.6,22.76,-6.3,5.4,11.3,3.1,10.2,19.6
56,Freddie Mac,FMCC,Diversified Financials,www.freddiemac.com,McLean,VA,22102,"7,301",,"$65,898 ",47,-0.5,"$12,109 ",65.3,"$3,025,586 ","$28,033 ",$510 ,18.4,0.4,43.2,0.15,"1,400.00",38,,-64.4,-26,14.6
57,Goldman Sachs Group,GS,Commercial Banks,www.goldmansachs.com,New York,NY,10282,"43,900",,"$64,989 ",59,21.5,"$21,635 ",128.7,"$1,463,988 ","$109,926 ","$117,668 ",33.3,1.5,19.7,59.45,140.3,29.6,29.4,47.6,11.8,17.4
58,Raytheon Technologies,RTX,Aerospace and Defense,www.rtx.com,Waltham,MA,2451,"174,000",,"$64,388 ",57,13.8,"$3,864 ",,"$161,404 ","$73,068 ","$147,641 ",6,2.4,5.3,2.56,,-16,-7.3,23.3,8.9,10
